query,accuracy
pos32875_27912_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/24171/0_5099,0%
pos268109_260451_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/2425/363_10522,0%
pos52797_55642_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/24325/0_9793,12.50%
pos86320_82898_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/24545/0_3487,0%
pos249995_249097_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/24788/0_5449,0%
pos113910_110236_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/24949/0_5960,0%
pos97816_104404_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/25212/0_8660,44.44%
pos90593_85265_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/25475/0_5574,0%
pos155913_161246_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/25631/7671_13733,40.00%
pos100418_93318_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/25696/0_13736,0%
pos66866_62254_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/25858/0_8170,0%
pos94828_89704_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/25939/0_5375,0%
pos106772_110143_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/26352/0_7176,4.55%
pos247903_246997_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/26393/879_7184,0%
pos202983_202727_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/26555/6132_14748,0%
pos88484_92595_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/26656/0_4153,80.00%
pos127485_123350_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/27047/0_8051,0%
pos106774_111495_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/277/0_8733,38.46%
pos222514_216351_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/28728/0_6749,0%
pos253046_250159_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/28877/4155_10829,0%
pos118312_114906_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/29099/7995_17885,0%
