query,accuracy
pos182842_176818_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/22363/0_6411,0%
pos35921_26280_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/22806/0_14473,100.00%
pos93702_99257_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/232/0_5368,0.00%
pos223905_221643_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/2323/4960_8095,0%
pos96915_88849_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/23541/0_8100,0%
pos281085_283432_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/23649/0_5287,50.00%
pos263654_261534_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/23960/0_9046,0%
pos73257_69322_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/24193/0_4098,0%
pos149074_154607_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/24484/6880_12825,0.00%
pos32468_29194_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/24761/670_7690,0%
pos109652_112272_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/2508/0_4990,40.00%
pos270143_269573_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/25098/14927_19212,0%
pos93514_98270_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/25104/0_4550,33.33%
pos95381_90357_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/25212/0_5111,0%
pos85769_87637_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/2558/0_3459,0.00%
pos157101_161302_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/25604/0_4302,100.00%
pos196108_199452_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/25824/381_9011,50.00%
pos185902_187448_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/25990/0_3536,0%
pos277339_275779_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/26277/0_5948,0%
pos114901_124472_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/26508/0_14990,100.00%
pos14129_22613_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/26841/0_10506,0%
pos106672_104594_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/26967/10642_17147,0%
pos240284_243556_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/26997/0_3364,0%
pos37733_40148_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/27080/0_12255,62.50%
pos177088_183290_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/27147/0_6294,100.00%
pos280636_283431_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/27238/0_10831,0.00%
pos209095_201296_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/2725/0_9589,0%
pos182653_179154_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/27285/5463_13328,0%
pos106532_105916_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/27399/7648_12541,0%
pos262729_261154_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/27838/1773_8234,0%
pos233005_226390_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/28689/0_10554,0%
pos159533_165036_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/29753/9787_17922,100.00%
pos163327_151285_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/3032/0_16338,0%
pos117052_126299_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/30513/0_11301,50.00%
pos187930_200903_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/30742/506_14474,0%
pos79629_84275_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/30777/8677_16252,0.00%
pos278147_277658_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/31073/789_9515,0%
pos89604_95573_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/31639/8498_16022,0.00%
pos282162_283427_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/31656/10186_14070,0.00%
"pos262775_262484_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/31942/10326_14011
",0%
pos143750_151087_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/32142/7282_15844,0.00%
pos35026_33268_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/32525/0_4897,0%
pos125206_116826_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/32635/583_9237,0%
pos230738_233916_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/32681/0_3386,75.00%
pos121316_118418_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/32940/0_6463,0%
pos161738_165681_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/33023/0_8807,0.00%
pos178870_170464_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/33351/0_12514,0%
pos278145_277499_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/33598/0_3290,0%
pos224843_220289_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/33940/2418_8423,0%
pos48508_40249_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/34065/0_13257,0%
pos262366_257077_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/34189/0_5314,0%
pos130898_127869_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/3500/1586_14989,0%
pos75671_78479_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/35493/0_7604,100.00%
pos116655_121178_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/35830/0_4458,0.00%
pos190777_186712_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/36229/0_4160,0%
pos259319_254650_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/36476/3155_10727,0%
pos83703_90269_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/36568/413_7455,100.00%
pos71146_81132_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/36885/0_10549,100.00%
pos273635_277336_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/37314/0_10503,0.00%
pos200626_195814_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/37769/0_4938,0%
pos24465_22171_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/38015/2669_7549,0.00%
pos232308_229751_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/38143/8382_14624,0%
pos94091_101598_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/40191/13167_21231,100.00%
pos47712_53350_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/41218/2455_10752,50.00%
pos7885_8971_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/4151/2010_5043,0%
pos250153_253046_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/4166/0_8285,0.00%
pos188936_196744_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/42470/0_12743,0%
pos104715_106670_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/42484/5048_8550,40.00%
pos125892_123626_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/43013/8584_14568,0%
pos245563_243972_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/43119/9737_13915,0%
pos122923_114899_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/44291/0_7948,0%
pos114898_123539_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/44407/0_11152,100.00%
pos49556_55642_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/44447/0_12588,0%
pos214587_223241_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/44679/0_8262,33.33%
pos254650_259415_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/44831/0_4860,50.00%
pos162950_159036_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/44912/13523_17137,0%
pos117680_114898_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/45158/0_3879,0%
"pos238590_237661_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/45161/630_6848
",0%
pos145896_154226_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/45750/0_8513,100.00%
pos126084_122883_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/46052/0_3238,0%
pos130886_127878_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/46756/2164_8629,0%
pos162880_164829_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/46764/0_5456,0%
pos104404_102622_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/47270/0_3863,0%
pos244315_245674_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/47378/0_5428,0%
pos171236_167737_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/47529/0_3745,0%
pos177387_171305_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/47642/593_9164,0%
pos146280_140447_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/48362/0_13140,0%
pos86155_98011_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/48400/0_16059,50.00%
pos90428_82488_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/48558/455_15563,0%
pos204735_201938_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/48581/7996_16841,0%
pos95098_103128_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/48751/0_8225,100.00%
pos117234_122008_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/49086/2674_7961,0.00%
pos202184_207912_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/49127/0_5467,0%
pos107057_113790_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/49398/0_12106,50.00%
pos192982_196319_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/49425/1038_8864,0%
pos172227_177808_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/4953/381_7002,0%
pos94261_91489_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/49904/10478_15020,0%
pos48026_53876_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/50328/0_8602,0%
pos254650_260604_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/50683/0_6560,0%
pos246128_247908_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/50715/0_3093,0%
pos66866_62336_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/50735/9872_20237,0%
pos127880_127628_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/50867/0_6168,0%
pos224027_215403_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/5143/1003_13172,0%
pos236838_241072_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/52011/0_12406,50.00%
pos89523_78654_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/52961/0_11327,0%
pos283432_280642_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/53195/0_11826,0%
pos232564_236009_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/53204/0_9684,0%
pos117252_114899_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/53325/11946_16056,0%
pos109673_114791_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/53372/0_6425,100.00%
pos221681_224849_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/54013/0_5839,50.00%
pos226981_225741_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/54889/565_3707,0%
pos88307_85755_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/55203/4927_11979,0%
pos136142_140158_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/55621/0_6447,33.33%
pos241174_236842_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/55779/0_8183,0%
pos98564_95221_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/56575/0_3378,0%
pos212573_215895_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/57458/1919_5383,0%
pos61288_66870_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/57587/0_6164,0.00%
pos40248_53329_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/57963/1816_16296,0%
pos113672_106772_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/58019/0_11081,0%
pos107726_111126_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/5849/0_3797,0%
pos9229_13953_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/59276/0_4923,0.00%
pos277486_278142_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/59463/0_3235,0.00%
pos209094_207165_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/60664/14014_17467,0%
pos106772_114780_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/60782/0_11981,50.00%
pos153556_163736_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/61060/0_10445,0%
pos220965_224342_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/61116/15501_21805,0.00%
pos230896_236513_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/61132/0_15222,50.00%
pos140158_133485_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/61788/0_7668,0%
pos281742_283428_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/62813/0_4431,0%
pos157981_160427_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/63471/4340_7602,0%
pos188434_194359_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/6363/0_6154,0%
"pos160692_156231_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/64022/342_6313
",0%
pos139737_133114_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/64168/0_7469,0%
pos273166_277339_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/64638/5686_15959,50.00%
pos278147_277494_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/64651/10259_17964,0%
pos133969_138824_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/64743/7266_12364,100.00%
pos86284_82253_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/64803/0_12487,0%
pos40250_47490_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/65216/268_9629,0%
pos101357_104401_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/65396/4520_14097,0%
pos225670_227443_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/65683/8642_12406,100.00%
pos59824_55759_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/66354/503_8602,0%
pos86898_80984_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/66640/387_10359,0%
pos35921_32976_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/66897/4547_14301,0%
pos106772_114789_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/67087/0_10566,100.00%
pos208302_202745_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/67329/0_10309,0%
pos37740_40148_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/67494/393_7193,0%
pos245793_247908_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/67728/0_3512,0%
pos77271_80837_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/6921/0_3783,0%
pos26875_31629_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/69429/0_4863,0%
pos35921_28226_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/70024/0_10835,0%
pos164527_164196_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/70214/0_3530,0%
pos127478_123852_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/70691/1941_10751,0%
pos66864_61288_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/70788/0_11680,100.00%
pos150990_154420_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/7175/1872_5719,0%
pos82602_91891_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/72052/0_11450,0%
pos252484_250174_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/72296/6620_12275,0%
pos186106_184735_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/72300/157_6256,0%
pos128626_132312_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/72621/5148_17048,0%
pos267931_262551_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/73186/11378_17466,0%
pos62529_61292_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/73617/4702_11656,0%
pos93044_84603_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/73632/428_9551,0%
pos59778_56419_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/73901/7773_17928,0%
pos181253_175287_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/74177/0_6084,0%
pos273133_273392_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/74195/0_3569,0%
pos209095_203219_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/74244/0_8246,0%
pos220843_218990_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/74616/0_3402,0%
pos192114_185400_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/74712/3429_10417,0%
pos177867_185592_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/74763/0_8341,0%
pos106772_111775_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/74771/1246_10771,0%
pos197178_196517_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/74876/6533_10786,0%
pos72925_84510_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/7525/0_11588,0.00%
pos67031_70852_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/75325/6010_13177,0%
pos221488_214384_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/76820/0_6748,0%
pos171467_167348_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/76958/547_8598,0%
pos82091_93239_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/77042/0_10485,0%
pos42942_40874_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/77438/17497_22260,0%
pos184524_183899_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/7802/7255_14093,0%
pos153997_151465_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/7815/1339_7744,0%
pos243644_239076_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/78953/0_13093,0%
pos107768_110526_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/79269/0_3411,0%
pos37738_40148_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/79545/0_8231,0%
pos181474_183192_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/80065/2412_8289,0%
pos43367_45920_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/80184/8651_12360,0%
pos181287_185504_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/80193/0_4074,0%
pos88636_86422_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/8028/4027_15543,0%
pos89812_86011_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/80369/5428_9388,0%
pos140447_144152_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/80500/5745_10601,100.00%
pos34731_29475_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/80501/463_15138,0%
pos209094_205998_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/80869/0_8581,0%
pos276277_276653_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/81282/2187_20657,0%
pos85730_81762_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/81850/0_5717,0%
pos191840_190389_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/81888/2372_8210,0%
pos140158_138551_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/82282/4646_7820,0%
pos247898_245793_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/82365/0_7605,0%
pos225671_230633_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/8275/0_8795,0%
pos257410_254650_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/83591/0_6342,0%
pos119194_124165_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/83788/0_5452,0%
pos114898_119806_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/83904/8861_16919,0%
pos115287_118778_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/84190/2570_13337,0%
pos140452_146021_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/8793/8685_16978,0%
pos173131_171401_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/8954/0_11480,0%
pos196268_199693_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/8964/1290_5179,0%
pos269908_274099_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/9066/0_4446,0%
pos275648_277339_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/9492/0_3612,0%
pos267223_257123_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/9655/0_10257,0%
pos14127_23619_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/9701/0_12475,0%
