read_id1,read_id2
pos95403_101166_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/110596/403_8928,pos86155_98011_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/48400/0_16059
pos95403_101166_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/110596/403_8928,pos98857_101947_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/5616/7371_10752
pos95403_101166_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/110596/403_8928,pos94326_99859_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/158301/0_5880
pos95403_101166_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/110596/403_8928,pos94091_101598_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/40191/13167_21231
pos27742_32040_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/110642/781_7998,pos31517_35921_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/18826/207_13063
pos127872_131557_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/110721/3696_7791,pos127870_132312_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/84963/0_6368
pos127872_131557_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/110721/3696_7791,pos127931_130532_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/67040/3450_8752
pos127872_131557_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/110721/3696_7791,pos133057_135623_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/149294/412_6772
pos127872_131557_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/110721/3696_7791,pos133057_135284_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/124125/1117_7065
pos127872_131557_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/110721/3696_7791,pos134982_138118_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/57791/0_5714
pos127872_131557_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/110721/3696_7791,pos144591_147338_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/144552/1447_5250
pos127872_131557_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/110721/3696_7791,pos133969_138824_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/64743/7266_12364
